Target_ID	Target_Name	CpG_Sites_Profiled	Mean_Depth	Mean_5mC_Freq	Median_5mC_Freq	ASM_Sites_Count	WGBS_Correlation_r
T1	OCA2	166	81.8	0.67	0.696	8	0.829
T2	HERC2/OCA2	286	18.6	0.584	0.6	3	0.766
T3	SLC24A4	63	84.3	0.664	0.73	1	0.853
T4	SLC45A2	91	35.1	0.807	0.818	2	0.748
T5	TYR	83	26.0	0.764	0.8	2	0.71
T6	IRF4	313	13.7	0.468	0.412	101	0.831
T7	TPOX	299	73.5	0.605	0.609	0	0.804
T8	PentaD	186	111.4	0.733	0.774	6	0.829
T9	ACKR1/CADM3	163	53.5	0.666	0.667	26	0.884
T10	ADH1B	52	31.8	0.827	0.873	3	0.858
