Target_ID	Target_Name	Chr	Genomic_Pos	Target_Pos	Total_Depth	Methylated_Reads	Unmethylated_Reads	Methylation_Frequency	GC_Context_100bp	WGBS_Benchmark_Freq
T1	OCA2	chr15	27983308	28	10	8	2	0.8	0.506	0.843
T1	OCA2	chr15	27983340	60	16	16	0	1.0	0.46	0.8432
T1	OCA2	chr15	27983395	115	13	12	1	0.9231	0.48	0.874
T1	OCA2	chr15	27983528	248	15	14	1	0.9333	0.45	0.9241
T1	OCA2	chr15	27983565	285	12	12	0	1.0	0.54	0.992
T1	OCA2	chr15	27983573	293	9	5	4	0.5556	0.57	0.5097
T1	OCA2	chr15	27983586	306	13	5	8	0.3846	0.58	0.5604
T1	OCA2	chr15	27983588	308	8	5	3	0.625	0.57	0.6483
T1	OCA2	chr15	27983652	372	13	7	6	0.5385	0.59	0.4691
T1	OCA2	chr15	27983671	391	18	10	8	0.5556	0.59	0.5636
T1	OCA2	chr15	27983718	438	21	12	9	0.5714	0.58	0.5085
T1	OCA2	chr15	27983837	557	9	3	6	0.3333	0.67	0.3875
T1	OCA2	chr15	27984268	988	12	8	4	0.6667	0.61	0.6725
T1	OCA2	chr15	27984275	995	19	13	6	0.6842	0.62	0.7243
T1	OCA2	chr15	27984301	1021	7	2	5	0.2857	0.66	0.3652
T1	OCA2	chr15	27984440	1160	15	5	10	0.3333	0.62	0.524
T1	OCA2	chr15	27984583	1303	82	81	1	0.9878	0.5	1.0
T1	OCA2	chr15	27984591	1311	75	67	8	0.8933	0.49	0.8648
T1	OCA2	chr15	27984621	1341	82	51	31	0.622	0.58	0.6065
T1	OCA2	chr15	27984646	1366	93	65	28	0.6989	0.63	0.4737
T1	OCA2	chr15	27984653	1373	105	60	45	0.5714	0.61	0.552
T1	OCA2	chr15	27984707	1427	82	82	0	1.0	0.52	0.9773
T1	OCA2	chr15	27984717	1437	84	51	33	0.6071	0.55	0.6219
T1	OCA2	chr15	27984749	1469	74	61	13	0.8243	0.52	0.7554
T1	OCA2	chr15	27984914	1634	13	5	8	0.3846	0.57	0.2808
T1	OCA2	chr15	27984951	1671	18	6	12	0.3333	0.58	0.3586
T1	OCA2	chr15	27985032	1752	10	8	2	0.8	0.64	0.5496
T1	OCA2	chr15	27985043	1763	17	7	10	0.4118	0.62	0.4832
T1	OCA2	chr15	27985059	1779	9	8	1	0.8889	0.62	0.5848
