#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_000015.10:27983281-27993166	1	9886	1694	9886	100	72.9795	20.3	14.6
NC_000015.10:28112702-28130250	1	17549	679	17532	99.9031	20.2062	19.5	12.2
NC_000014.9:92303403-92323757	1	20355	908	20329	99.8723	16.8795	20.3	13.4
NC_000005.10:33944711-33959555	1	14845	753	14828	99.8855	47.3504	20.4	47.5
NC_000011.10:89259000-89295942	1	36943	1038	36913	99.9188	16.1511	21.5	15.6
NC_000006.12:392229-401463	1	9235	30	9221	99.8484	17.2783	19.4	58.2
NC_000002.12:1480364-1494141	1	13778	2682	13778	100	99.0936	20.5	19.6
NC_000021.9:43627563-43644088	1	16526	3431	16510	99.9032	84.0353	20.8	16.3
NC_000001.11:159199781-159212236	1	12456	1201	12440	99.8715	60.5083	19.7	16.3
NC_000004.12:99314773-99323024	1	8252	86	8240	99.8546	52.0153	20.1	59
