Target_ID	Target_Name	Chr	Genomic_Pos	Target_Pos	H1_Depth	H1_Methylation_Freq	H2_Depth	H2_Methylation_Freq	Delta_Methylation	ASM_Status
T1	OCA2	chr15	27984583	1303	47	0.9787	29	1.0	0.0213	Concordant
T1	OCA2	chr15	27984591	1311	44	0.8182	23	1.0	0.1818	Concordant
T1	OCA2	chr15	27984621	1341	47	0.4681	28	0.8214	0.3533	AlleleSpecific
T1	OCA2	chr15	27984646	1366	54	0.7037	31	0.7742	0.0705	Concordant
T1	OCA2	chr15	27984653	1373	56	0.4464	40	0.75	0.3036	AlleleSpecific
T1	OCA2	chr15	27984707	1427	44	1.0	30	1.0	0.0	Concordant
T1	OCA2	chr15	27984717	1437	50	0.52	27	0.7407	0.2207	Concordant
T1	OCA2	chr15	27984749	1469	43	0.7209	27	1.0	0.2791	AlleleSpecific
T1	OCA2	chr15	27985761	2481	43	0.2558	35	0.7143	0.4585	AlleleSpecific
T1	OCA2	chr15	27985780	2500	53	0.3962	35	0.6571	0.2609	AlleleSpecific
T1	OCA2	chr15	27985804	2524	33	0.3333	32	0.5938	0.2605	AlleleSpecific
T1	OCA2	chr15	27985817	2537	45	0.4667	45	0.7333	0.2666	AlleleSpecific
T1	OCA2	chr15	27985837	2557	44	0.75	35	0.9714	0.2214	Concordant
T1	OCA2	chr15	27985849	2569	52	0.7692	41	0.9268	0.1576	Concordant
T1	OCA2	chr15	27985926	2646	42	0.7857	29	0.8621	0.0764	Concordant
T1	OCA2	chr15	27985970	2690	39	0.7949	32	1.0	0.2051	Concordant
T1	OCA2	chr15	27985982	2702	29	0.6552	15	1.0	0.3448	AlleleSpecific
T1	OCA2	chr15	27987457	4177	557	0.86	225	0.8533	0.0067	Concordant
T1	OCA2	chr15	27987490	4210	535	0.6486	208	0.6538	0.0052	Concordant
T1	OCA2	chr15	27987494	4214	542	0.6199	234	0.6538	0.0339	Concordant
T1	OCA2	chr15	27987501	4221	554	0.6715	221	0.6878	0.0163	Concordant
T1	OCA2	chr15	27987515	4235	635	0.8787	245	0.8653	0.0134	Concordant
T1	OCA2	chr15	27987597	4317	552	0.9565	221	0.9457	0.0108	Concordant
T1	OCA2	chr15	27987601	4321	601	0.8952	233	0.8841	0.0111	Concordant
T1	OCA2	chr15	27987658	4378	483	0.5528	197	0.5939	0.0411	Concordant
T1	OCA2	chr15	27987685	4405	583	0.4837	242	0.5289	0.0452	Concordant
T1	OCA2	chr15	27987714	4434	461	0.8742	209	0.7799	0.0943	Concordant
T1	OCA2	chr15	27992123	8843	92	0.75	77	0.6494	0.1006	Concordant
T1	OCA2	chr15	27992136	8856	69	0.5942	70	0.6429	0.0487	Concordant
T1	OCA2	chr15	27992142	8862	83	0.7108	74	0.7162	0.0054	Concordant
T1	OCA2	chr15	27992166	8886	75	0.4267	70	0.3857	0.041	Concordant
T1	OCA2	chr15	27992289	9009	90	0.6556	92	0.7283	0.0727	Concordant
T1	OCA2	chr15	27992352	9072	95	0.3368	90	0.2778	0.059	Concordant
T1	OCA2	chr15	27992389	9109	62	0.8548	69	0.7971	0.0577	Concordant
T1	OCA2	chr15	27992391	9111	56	0.875	51	0.7843	0.0907	Concordant
T1	OCA2	chr15	27992870	9590	41	0.6098	18	0.3889	0.2209	Concordant
T1	OCA2	chr15	27992926	9646	42	0.9524	16	0.9375	0.0149	Concordant
T1	OCA2	chr15	27993016	9736	40	0.925	16	0.875	0.05	Concordant
T1	OCA2	chr15	27993110	9830	40	0.9	15	1.0	0.1	Concordant
T1	OCA2	chr15	27993118	9838	13	0.7692	13	0.8462	0.077	Concordant
T2	HERC2/OCA2	chr15	28116276	3575	60	0.8167	18	0.9444	0.1277	Concordant
T2	HERC2/OCA2	chr15	28116299	3598	99	0.5657	31	0.5484	0.0173	Concordant
T2	HERC2/OCA2	chr15	28116306	3605	96	0.4896	31	0.3548	0.1348	Concordant
T2	HERC2/OCA2	chr15	28116405	3704	79	0.8354	23	0.7391	0.0963	Concordant
T2	HERC2/OCA2	chr15	28116436	3735	84	0.9167	19	0.8947	0.022	Concordant
T2	HERC2/OCA2	chr15	28116496	3795	57	0.8596	17	0.9412	0.0816	Concordant
T2	HERC2/OCA2	chr15	28116506	3805	37	0.973	10	0.9	0.073	Concordant
T2	HERC2/OCA2	chr15	28116508	3807	33	1.0	8	1.0	0.0	Concordant
T2	HERC2/OCA2	chr15	28118995	6294	6	1.0	6	1.0	0.0	Concordant
T2	HERC2/OCA2	chr15	28119005	6304	17	0.8235	13	1.0	0.1765	Concordant
T2	HERC2/OCA2	chr15	28119129	6428	25	0.88	16	0.75	0.13	Concordant
T2	HERC2/OCA2	chr15	28119161	6460	55	0.6545	40	0.625	0.0295	Concordant
T2	HERC2/OCA2	chr15	28119166	6465	51	0.5686	38	0.4211	0.1475	Concordant
T2	HERC2/OCA2	chr15	28119272	6571	54	0.963	41	0.9268	0.0362	Concordant
T2	HERC2/OCA2	chr15	28119378	6677	53	0.9811	40	0.975	0.0061	Concordant
T2	HERC2/OCA2	chr15	28119455	6754	28	0.8214	13	0.8462	0.0248	Concordant
T2	HERC2/OCA2	chr15	28119492	6791	34	0.9706	27	0.8889	0.0817	Concordant
T2	HERC2/OCA2	chr15	28119508	6807	27	0.963	20	1.0	0.037	Concordant
T2	HERC2/OCA2	chr15	28119522	6821	34	0.5	27	0.7778	0.2778	AlleleSpecific
T2	HERC2/OCA2	chr15	28119546	6845	51	0.6863	37	0.4865	0.1998	Concordant
T2	HERC2/OCA2	chr15	28119655	6954	41	0.7317	31	0.7419	0.0102	Concordant
T2	HERC2/OCA2	chr15	28119702	7001	45	0.7778	33	0.5152	0.2626	AlleleSpecific
T2	HERC2/OCA2	chr15	28124792	12091	16	0.5625	8	0.75	0.1875	Concordant
T2	HERC2/OCA2	chr15	28125849	13148	8	1.0	3	1.0	0.0	Concordant
T2	HERC2/OCA2	chr15	28125888	13187	10	0.5	3	0.3333	0.1667	Concordant
T2	HERC2/OCA2	chr15	28125897	13196	11	0.2727	3	0.6667	0.394	AlleleSpecific
T2	HERC2/OCA2	chr15	28125958	13257	7	1.0	3	1.0	0.0	Concordant
T2	HERC2/OCA2	chr15	28126031	13330	7	1.0	3	1.0	0.0	Concordant
T2	HERC2/OCA2	chr15	28129839	17138	76	0.8553	93	0.8602	0.0049	Concordant
T2	HERC2/OCA2	chr15	28129869	17168	107	0.3271	112	0.4196	0.0925	Concordant
T2	HERC2/OCA2	chr15	28129920	17219	83	0.7108	89	0.7303	0.0195	Concordant
T2	HERC2/OCA2	chr15	28129922	17221	86	0.8256	92	0.8152	0.0104	Concordant
T2	HERC2/OCA2	chr15	28129924	17223	87	0.8851	96	0.8646	0.0205	Concordant
T2	HERC2/OCA2	chr15	28129974	17273	90	0.8778	101	0.901	0.0232	Concordant
T2	HERC2/OCA2	chr15	28129994	17293	80	0.875	82	0.7317	0.1433	Concordant
T2	HERC2/OCA2	chr15	28130008	17307	75	0.56	87	0.4023	0.1577	Concordant
T2	HERC2/OCA2	chr15	28130015	17314	91	0.6154	92	0.4348	0.1806	Concordant
T3	SLC24A4	chr14	92305594	2192	10	0.4	11	0.4545	0.0545	Concordant
T3	SLC24A4	chr14	92305730	2328	7	0.4286	9	0.6667	0.2381	Concordant
T3	SLC24A4	chr14	92305793	2391	9	0.5556	7	0.2857	0.2699	AlleleSpecific
T3	SLC24A4	chr14	92315886	12484	103	0.8155	77	0.7662	0.0493	Concordant
T3	SLC24A4	chr14	92315892	12490	119	0.8067	83	0.8916	0.0849	Concordant
T3	SLC24A4	chr14	92315946	12544	238	0.584	162	0.5864	0.0024	Concordant
T3	SLC24A4	chr14	92315991	12589	224	0.8482	168	0.8869	0.0387	Concordant
T3	SLC24A4	chr14	92316022	12620	234	0.8889	154	0.8831	0.0058	Concordant
T3	SLC24A4	chr14	92316036	12634	197	0.7817	145	0.8207	0.039	Concordant
T3	SLC24A4	chr14	92316038	12636	234	0.7308	147	0.7279	0.0029	Concordant
T3	SLC24A4	chr14	92316080	12678	237	0.4684	156	0.5256	0.0572	Concordant
T3	SLC24A4	chr14	92316090	12688	259	0.5135	173	0.526	0.0125	Concordant
T3	SLC24A4	chr14	92316114	12712	238	0.5756	159	0.5157	0.0599	Concordant
T3	SLC24A4	chr14	92316160	12758	198	0.8131	139	0.8273	0.0142	Concordant
T3	SLC24A4	chr14	92316200	12798	12	0.75	5	0.8	0.05	Concordant
T3	SLC24A4	chr14	92319614	16212	62	0.6129	36	0.6111	0.0018	Concordant
T3	SLC24A4	chr14	92319652	16250	132	0.5758	66	0.4848	0.091	Concordant
T3	SLC24A4	chr14	92319684	16282	122	0.9344	69	0.942	0.0076	Concordant
T3	SLC24A4	chr14	92319810	16408	129	0.6434	65	0.6462	0.0028	Concordant
T3	SLC24A4	chr14	92319864	16462	124	0.9032	62	0.8548	0.0484	Concordant
T4	SLC45A2	chr5	33950081	5371	3	0.3333	13	0.9231	0.5898	AlleleSpecific
T4	SLC45A2	chr5	33952782	8072	126	0.8254	78	0.7436	0.0818	Concordant
T4	SLC45A2	chr5	33952849	8139	110	0.4273	75	0.4133	0.014	Concordant
T4	SLC45A2	chr5	33952939	8229	105	0.6857	60	0.6333	0.0524	Concordant
T4	SLC45A2	chr5	33952962	8252	117	0.7436	77	0.7792	0.0356	Concordant
T4	SLC45A2	chr5	33953142	8432	98	0.6939	70	0.6429	0.051	Concordant
T4	SLC45A2	chr5	33953155	8445	92	0.5543	82	0.7927	0.2384	Concordant
T4	SLC45A2	chr5	33953560	8850	73	0.726	67	0.6716	0.0544	Concordant
T4	SLC45A2	chr5	33953583	8873	71	0.7042	76	0.6711	0.0331	Concordant
T4	SLC45A2	chr5	33953593	8883	78	0.7051	72	0.75	0.0449	Concordant
T4	SLC45A2	chr5	33953626	8916	81	0.7901	85	0.7059	0.0842	Concordant
T4	SLC45A2	chr5	33953821	9111	82	0.6951	67	0.6418	0.0533	Concordant
T4	SLC45A2	chr5	33956390	11680	3	1.0	13	0.6154	0.3846	AlleleSpecific
T5	TYR	chr11	89262116	3117	167	0.8084	380	0.9842	0.1758	Concordant
T5	TYR	chr11	89262175	3176	218	0.4174	563	0.6927	0.2753	AlleleSpecific
T5	TYR	chr11	89264543	5544	3	0.6667	17	0.7647	0.098	Concordant
T5	TYR	chr11	89264717	5718	6	1.0	16	0.5625	0.4375	AlleleSpecific
T6	IRF4	chr6	392246	18	4	0.0	7	0.2857	0.2857	AlleleSpecific
T6	IRF4	chr6	392249	21	3	0.3333	5	0.2	0.1333	Concordant
T6	IRF4	chr6	392256	28	4	0.5	8	0.5	0.0	Concordant
T6	IRF4	chr6	392259	31	3	0.3333	5	0.2	0.1333	Concordant
T6	IRF4	chr6	392272	44	3	0.6667	7	0.1429	0.5238	AlleleSpecific
T6	IRF4	chr6	392309	81	5	0.6	8	0.0	0.6	AlleleSpecific
T6	IRF4	chr6	392314	86	4	0.25	8	0.125	0.125	Concordant
T6	IRF4	chr6	392323	95	3	0.0	7	0.1429	0.1429	Concordant
T6	IRF4	chr6	392327	99	3	0.0	5	0.0	0.0	Concordant
T6	IRF4	chr6	392339	111	5	0.2	11	0.1818	0.0182	Concordant
T6	IRF4	chr6	392347	119	5	0.6	8	0.125	0.475	AlleleSpecific
T6	IRF4	chr6	392349	121	5	0.4	4	0.25	0.15	Concordant
T6	IRF4	chr6	392370	142	3	1.0	9	0.1111	0.8889	AlleleSpecific
T6	IRF4	chr6	392379	151	5	0.8	10	0.5	0.3	AlleleSpecific
T6	IRF4	chr6	392382	154	4	0.0	11	0.2727	0.2727	AlleleSpecific
T6	IRF4	chr6	392392	164	3	0.3333	6	0.3333	0.0	Concordant
T6	IRF4	chr6	392394	166	4	0.0	8	0.25	0.25	AlleleSpecific
T6	IRF4	chr6	392403	175	3	0.6667	7	0.4286	0.2381	Concordant
T6	IRF4	chr6	392409	181	3	0.3333	9	0.2222	0.1111	Concordant
T6	IRF4	chr6	392417	189	5	0.4	10	0.5	0.1	Concordant
T6	IRF4	chr6	392428	200	3	0.3333	8	0.375	0.0417	Concordant
T6	IRF4	chr6	392435	207	5	0.8	9	0.1111	0.6889	AlleleSpecific
T6	IRF4	chr6	392438	210	4	0.25	6	0.1667	0.0833	Concordant
T6	IRF4	chr6	392442	214	4	0.25	9	0.3333	0.0833	Concordant
T6	IRF4	chr6	392451	223	4	0.75	5	0.4	0.35	AlleleSpecific
T6	IRF4	chr6	392463	235	3	0.6667	5	0.4	0.2667	AlleleSpecific
T6	IRF4	chr6	392483	255	4	0.0	5	0.2	0.2	Concordant
T6	IRF4	chr6	392485	257	3	0.0	5	0.2	0.2	Concordant
T6	IRF4	chr6	392501	273	5	0.6	9	0.1111	0.4889	AlleleSpecific
T6	IRF4	chr6	392525	297	3	0.6667	6	0.6667	0.0	Concordant
T6	IRF4	chr6	392555	327	3	0.0	8	0.5	0.5	AlleleSpecific
T6	IRF4	chr6	392560	332	5	0.4	6	0.3333	0.0667	Concordant
T6	IRF4	chr6	392605	377	4	0.5	7	0.2857	0.2143	Concordant
T6	IRF4	chr6	392613	385	3	0.6667	5	0.4	0.2667	AlleleSpecific
T6	IRF4	chr6	392624	396	3	0.0	6	0.3333	0.3333	AlleleSpecific
T6	IRF4	chr6	392628	400	4	0.25	6	0.0	0.25	AlleleSpecific
T6	IRF4	chr6	392632	404	4	0.5	6	0.3333	0.1667	Concordant
T6	IRF4	chr6	392638	410	4	0.5	9	0.1111	0.3889	AlleleSpecific
T6	IRF4	chr6	392648	420	4	0.75	9	0.3333	0.4167	AlleleSpecific
T6	IRF4	chr6	392661	433	3	0.3333	11	0.4545	0.1212	Concordant
T6	IRF4	chr6	392688	460	5	0.4	8	0.375	0.025	Concordant
T6	IRF4	chr6	392701	473	4	0.75	9	0.4444	0.3056	AlleleSpecific
T6	IRF4	chr6	392723	495	4	0.5	8	0.125	0.375	AlleleSpecific
T6	IRF4	chr6	392742	514	4	0.25	8	0.375	0.125	Concordant
